Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
8730,133111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8732,490111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8736,488211,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8738,272111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8740,510113,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8742,239111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8744,153111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8746,170112,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8748,126111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8752,244111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8754,126111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8756,272111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8760,272111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8762,28111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8764,512111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8766,435111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8768,502111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8770,488611,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8772,298111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8774,77111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8776,511111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8778,8112,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8780,488712,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8782,488112,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8784,426111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8786,488312,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8790,487113,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8792,517211,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8796,505111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8800,148111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8804,227111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8806,77111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8808,513111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8810,511111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
8812,510114,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8814,316111,UOCAVA,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
8816,514131,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8818,18111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8820,434111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8822,18111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
